lastSalePrice,lastSaleDate,sales_id
30000.0,2016-11-28,201
2384448.0,2021-01-07,202
148000.0,2019-05-06,203
220000.0,1993-12-01,204
60000.0,2006-07-03,205
260000.0,2018-12-18,206
51000.0,2014-08-27,207
30000.0,2023-05-30,208
274400.0,2020-02-10,209
80000.0,2016-04-06,210
330000.0,2012-12-05,211
0.0,2018-08-01,212
329000.0,2003-07-11,213
30000.0,2016-03-14,214
0.0,2017-08-04,215
3553000.0,2016-05-05,216
239000.0,2021-09-07,217
910000.0,2023-03-14,218
89000.0,2010-06-03,219
375975.0,2003-12-01,220
0.0,1984-09-27,221
350000.0,2020-11-30,222
7500.0,1979-04-12,223
100000.0,2014-01-14,224
0.0,2021-12-17,225
165000.0,1994-04-15,226
0.0,2023-10-10,227
115000.0,2016-12-27,228
225200.0,2013-03-05,229
410000.0,2021-03-05,230
0.0,2020-04-01,231
340000.0,2012-03-06,232
510000.0,2020-10-20,233
50000.0,2021-07-16,234
205000.0,1998-12-04,235
329000.0,2022-06-03,236
330000.0,2003-11-17,237
204900.0,2019-10-08,238
0.0,2008-03-04,239
0.0,2020-08-24,240
176900.0,2006-03-17,241
0.0,2014-12-31,242
0.0,2022-02-07,243
0.0,2022-10-19,244
109900.0,2022-03-28,245
0.0,2002-08-22,246
65000.0,2000-04-21,247
116000.0,2017-10-02,248
58000.0,2020-11-20,249
1150000.0,2022-05-27,250
417000.0,2022-02-07,251
67000.0,2005-09-16,252
0.0,1999-08-31,253
40000.0,2021-04-16,254
0.0,1977-01-08,255
136000.0,2000-10-03,256
350000.0,2009-04-13,257
410000.0,2022-07-12,258
73500.0,2000-03-06,259
135000.0,2020-12-09,260
317500.0,2013-08-02,261
920000.0,2004-07-23,262
570000.0,2024-05-07,263
100000.0,2017-02-10,264
0.0,2019-10-23,265
0.0,2019-04-16,266
163000.0,2019-04-17,267
449000.0,2019-07-11,268
299000.0,2009-03-31,269
146000.0,2002-11-26,270
0.0,2021-08-27,271
300000.0,2021-03-11,272
160000.0,2008-10-27,273
228000.0,2016-08-09,274
404000.0,2022-08-02,275
1200000.0,2024-03-29,276
0.0,2021-05-20,277
0.0,2022-07-26,278
1067632.0,2021-07-21,279
10000.0,1971-07-22,280
420000.0,2016-12-19,281
270000.0,2018-03-15,282
140000.0,2008-11-21,283
440000.0,2021-06-18,284
214900.0,2010-03-08,285
329000.0,2020-11-13,286
166000.0,2009-12-01,287
369000.0,2021-07-22,288
178500.0,2021-04-09,289
0.0,2023-05-01,290
0.0,2014-12-09,291
267500.0,2020-12-30,292
96500.0,2013-03-08,293
225000.0,2018-07-27,294
60420.0,2021-04-08,295
122000.0,2002-06-20,296
805000.0,2020-04-08,297
100.0,2019-05-31,298
285000.0,1993-09-23,299
210616.0,2015-07-20,300
300000.0,2002-12-27,301
0.0,1987-08-21,302
314990.0,2023-03-17,303
0.0,2020-06-11,304
5350000.0,2023-07-25,305
330000.0,2020-11-02,306
0.0,2019-11-11,307
123950.0,1997-03-27,308
105000.0,2017-02-16,309
56900.0,1977-08-03,310
587000.0,2023-03-15,311
200700.0,2016-11-21,312
507000.0,2021-04-02,313
114564.0,2012-02-07,314
60000.0,2004-07-27,315
